Id,Full Name,Description,Brand,Category,Price,Currency,Stock,EAN,Color,Size,Availability,Internal ID,zeros,zeros + 1
1,Thermostat Drone Heater,Consumer approach woman us those star.,Bradford-Yu,Kitchen Appliances,74.0,USD,139,8619793560985,Orchid,Medium,backorder,38,0,1
2,Ultra Speaker Iron Grill Advanced One,Point suggest easy money operation could white.,Douglas Group,Fitness Equipment,510.0,USD,351,3057216124300,MediumSeaGreen,Small,backorder,27,0,1
3,Watch Headphones Kettle,Reach husband education.,Landry-Austin,Beauty & Personal Care,254.0,USD,409,9825254410556,Lavender,XXL,pre_order,2,0,1
4,Portable Toaster Clock Monitor Silent,Always choose school poor table main.,"Odom, Norton and Foster",Makeup,69.0,USD,119,9490814777808,Pink,XL,in_stock,94,0,1
5,Pro Toaster Oven,Worry put discuss easy back too career.,"Fowler, Mendoza and Mcdaniel",Automotive,525.0,USD,727,4726650403799,LightCoral,XL,in_stock,95,0,1
6,Mini Speakerphone Mixer,Tell figure discussion chair red keep tough.,Burton-Gould,Team Sports,413.0,USD,566,9016454988741,OliveDrab,Medium,out_of_stock,44,0,1
7,Eco Cooler Printer Speaker Prime Prime,Cover close myself camera red evening.,"Soto, Raymond and Doyle",Health & Wellness,621.0,USD,245,4116090222997,Moccasin,Extra Large,limited_stock,1,0,1
8,Webcam Trimmer Projector,Fear fight until market court worry security trouble.,"Padilla, Dunn and Pruitt",Laptops & Computers,414.0,USD,559,4970509402222,HoneyDew,XL,limited_stock,27,0,1
9,Silent Headphones Stove Wireless Air Clean,Truth gun Democrat commercial.,Hughes and Sons,Home & Kitchen,858.0,USD,525,4349285091157,Chocolate,5x7 in,discontinued,16,0,1
10,Wireless Charger Air Premium Ultra,Public security home.,Mcbride-Wyatt,Health & Wellness,153.0,USD,550,1301175488525,MediumPurple,S,in_stock,4,0,1
11,Portable Fan Monitor Toaster Pro Smart Air,Number create north effect deep third hard.,"Wilkins, Horne and Farrell",Health & Wellness,738.0,USD,417,5524070542772,LightPink,12x18 in,limited_stock,44,0,1
12,Mini Iron Drone,Small meet inside career walk company.,"Miranda, Lucero and Blevins",Shoes & Footwear,367.0,USD,511,1842348818614,WhiteSmoke,S,in_stock,44,0,1
13,Smart Grill Tablet Fridge Sense,Eat describe discussion today.,Marshall Group,Grooming Tools,867.0,USD,679,5099801218115,SaddleBrown,XL,discontinued,37,0,1
14,Portable Grill Air Edge,Probably someone several moment if.,Tanner LLC,Clothing & Apparel,356.0,USD,904,1607017968263,DarkBlue,S,backorder,88,0,1
15,Premium Brush Scale Grill Plus Plus,Fire your stuff.,Mathews and Sons,Smartwatches,439.0,USD,987,6130539086788,MintCream,M,out_of_stock,71,0,1
16,Vacuum Router Toaster,Work subject ten firm more price.,Stephenson PLC,Team Sports,245.0,USD,412,3512687913957,LightSeaGreen,L,out_of_stock,6,0,1
17,Digital Clock Lock Eco Premium Portable,On ago smile stop.,Leonard LLC,Office Supplies,999.0,USD,14,1286011880117,SeaShell,XL,in_stock,83,0,1
18,Fast Watch Microphone Microphone,Behind home imagine enter think next whole cell.,"Montes, Hickman and Stout",Haircare,868.0,USD,416,9792206732649,Fuchsia,M,limited_stock,66,0,1
19,Clean Dock Mixer Router,Democratic cost use air data push.,Matthews Ltd,Toys & Games,411.0,USD,202,8630605129268,Ivory,Large,discontinued,51,0,1
20,Cooker Brush,Human office industry threat blue.,Contreras-Bonilla,Headphones & Earbuds,280.0,USD,124,4047379348117,Orchid,50x70 cm,limited_stock,39,0,1
21,Premium Cooler Premium Sense,Though knowledge hand.,Greene-Ayers,"Accessories (Bags, Hats, Belts)",448.0,USD,634,339997175201,Magenta,M,in_stock,92,0,1
22,Digital Powerbank Rechargeable Wireless,Few from outside role.,Hanna Group,Health & Wellness,612.0,USD,413,5054430234554,SkyBlue,S,pre_order,38,0,1
23,Digital Drone Advanced,Send speech product member.,Quinn-Fields,Clothing & Apparel,517.0,USD,738,1139779817522,AliceBlue,Medium,discontinued,35,0,1
24,Automatic Thermostat Drone Heater,Learn raise possible easy treatment.,Livingston-Steele,Kitchen Appliances,182.0,USD,86,7050318636401,Lavender,XL,discontinued,75,0,1
25,Clean Webcam Powerbank Portable Compact,Investment ability bring recognize meeting husband guess.,"Pearson, Hubbard and Woodward",Toys & Games,935.0,USD,415,8582074240015,MediumVioletRed,S,discontinued,14,0,1
26,Headphones,To even operation down.,"Zavala, Pugh and Wiley",Team Sports,35.0,USD,527,8967724306103,Salmon,Large,backorder,85,0,1
27,Fan Iron Cooker,Body perhaps own south always common never.,Mcfarland-Buck,Health & Wellness,926.0,USD,848,5115223259113,SlateBlue,Large,limited_stock,16,0,1
28,Wireless Printer Fan Compact Plus,Network financial draw sport season push nation.,Kirby and Sons,Home & Kitchen,934.0,USD,479,4948634974969,SeaGreen,10x10 cm,out_of_stock,7,0,1
29,Ultra Projector Rechargeable,Care environment stay might rock guess.,"Owen, Caldwell and Salazar",Books & Stationery,282.0,USD,953,482569332059,Khaki,S,pre_order,12,0,1
30,Blender Toaster Camera,Great might hair occur certainly.,Montoya Group,Books & Stationery,90.0,USD,680,4595536376539,Sienna,Large,in_stock,72,0,1
31,Treadmill,Role hotel test meeting probably reduce.,"Franklin, Liu and Evans",Toys & Games,537.0,USD,646,3194115967840,DarkViolet,L,in_stock,93,0,1
32,Portable Webcam Powerbank Rechargeable Advanced,Enter decade indicate.,Harrison Ltd,Fitness Equipment,177.0,USD,710,3364245845640,Khaki,8x10 in,in_stock,24,0,1
33,Fan Phone,Term collection whatever the.,Kennedy-Weiss,Camping & Hiking,335.0,USD,921,730639145543,SkyBlue,50x70 cm,pre_order,53,0,1
34,Pro Stove Eco Smart,Consumer leave media wrong nor word.,"Joyce, Mcdonald and Maldonado",Cycling,663.0,USD,695,3784103867582,Crimson,XXL,discontinued,18,0,1
35,Charger,Phone mention really reach.,"Mills, Mendez and Waller",Fitness Equipment,596.0,USD,52,8414274814911,Green,L,discontinued,86,0,1
36,Fan Phone,Smile market would trouble center.,Maldonado PLC,Laptops & Computers,385.0,USD,219,9543170012974,Orchid,10x10 cm,pre_order,36,0,1
37,Fan Powerbank,Your tree never bit each this rock.,"Payne, Joseph and Ponce",Kids' Clothing,825.0,USD,93,877671751360,DarkSlateGray,8x10 in,backorder,38,0,1
38,Premium Router Lamp,Daughter interesting ball way.,Roman and Sons,Home Decor,245.0,USD,243,3030338950781,SlateBlue,100x200 mm,in_stock,5,0,1
39,Smart Keyboard Toaster Monitor,State almost summer board church tree former.,Duarte Ltd,Cameras & Accessories,573.0,USD,671,5823126077900,DarkGoldenRod,Large,pre_order,98,0,1
40,Pro Iron Drone Ultra,Like find store police single.,Rogers Ltd,Shoes & Footwear,536.0,USD,188,1170593512927,GhostWhite,Medium,out_of_stock,53,0,1
41,Fan,Thing least interest around building table.,"Shaffer, Bowers and Parrish",Books & Stationery,783.0,USD,56,6867074040936,Magenta,XS,backorder,48,0,1
42,Fast Cooler Prime Advanced,Particularly gas security land.,Hartman LLC,Team Sports,181.0,USD,117,1914188006817,LightSlateGray,M,pre_order,32,0,1
43,Advanced Webcam Printer,Argue maybe TV media change it.,"Montoya, Barnes and Haley","Accessories (Bags, Hats, Belts)",914.0,USD,136,8004024210829,Cyan,12x18 in,in_stock,37,0,1
44,Premium Scooter,Where direction produce company employee edge thus news.,Cowan and Sons,Team Sports,486.0,USD,773,2459455666978,Aqua,12x18 in,in_stock,77,0,1
